starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:54 2025	1753129254	1	14	16	13
Mon Jul 21 21:20:55 2025	1753129255	1	15	16	14
Mon Jul 21 21:20:55 2025	1753129255	1	15	16	15
Mon Jul 21 21:20:56 2025	1753129256	0	15	16	14
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	15
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	16
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	15
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	15
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	15
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	15
Mon Jul 21 21:20:54 2025	1753129254	0	16	16	16
Mon Jul 21 21:20:54 2025	1753129254	1	16	16	13
Mon Jul 21 21:20:55 2025	1753129255	0	16	16	16
Mon Jul 21 21:20:56 2025	1753129256	0	16	16	15
Mon Jul 21 21:20:54 2025	1753129254	1	15	16	14
Mon Jul 21 21:20:56 2025	1753129256	0	16	17	15
Mon Jul 21 21:20:54 2025	1753129254	0	17	17	13
Mon Jul 21 21:20:56 2025	1753129256	0	17	17	16
Mon Jul 21 21:20:56 2025	1753129256	2	15	17	14
Mon Jul 21 21:20:55 2025	1753129255	1	16	17	14
Mon Jul 21 21:20:55 2025	1753129255	1	16	17	14
Mon Jul 21 21:20:55 2025	1753129255	0	17	17	16
Mon Jul 21 21:20:55 2025	1753129255	0	17	17	16
Mon Jul 21 21:20:55 2025	1753129255	0	17	17	15
Mon Jul 21 21:20:55 2025	1753129255	1	16	17	16
Mon Jul 21 21:20:56 2025	1753129256	0	17	17	13
Mon Jul 21 21:20:56 2025	1753129256	1	16	17	12
Mon Jul 21 21:20:55 2025	1753129255	0	17	17	16
Mon Jul 21 21:20:56 2025	1753129256	0	17	17	13
Mon Jul 21 21:20:54 2025	1753129254	1	16	17	15
Mon Jul 21 21:20:56 2025	1753129256	2	16	17	11
Mon Jul 21 21:20:55 2025	1753129255	3	14	17	12
Mon Jul 21 21:20:55 2025	1753129255	1	16	17	14
Mon Jul 21 21:20:54 2025	1753129254	0	17	17	16
Mon Jul 21 21:20:54 2025	1753129254	0	17	17	13
Mon Jul 21 21:20:56 2025	1753129256	0	17	17	15
Mon Jul 21 21:20:56 2025	1753129256	0	18	18	16
Mon Jul 21 21:20:56 2025	1753129256	0	18	18	17
Mon Jul 21 21:20:56 2025	1753129256	0	18	18	16
Mon Jul 21 21:20:54 2025	1753129254	0	17	18	17
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	15
Mon Jul 21 21:20:54 2025	1753129254	1	17	18	16
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	15
Mon Jul 21 21:20:56 2025	1753129256	0	17	18	16
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	15
Mon Jul 21 21:20:56 2025	1753129256	2	16	18	14
Mon Jul 21 21:20:56 2025	1753129256	2	16	18	15
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	17
