starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	12	179	191	177
Mon Jul 21 21:05:21 2025	1753128321	12	179	191	179
Mon Jul 21 21:05:21 2025	1753128321	12	179	192	179
Mon Jul 21 21:05:21 2025	1753128321	13	180	192	178
Mon Jul 21 21:05:21 2025	1753128321	12	182	194	170
Mon Jul 21 21:05:21 2025	1753128321	17	178	195	177
Mon Jul 21 21:05:21 2025	1753128321	12	182	195	181
Mon Jul 21 21:05:21 2025	1753128321	13	184	198	183
Mon Jul 21 21:05:21 2025	1753128321	19	180	199	168
Mon Jul 21 21:05:21 2025	1753128321	15	185	199	183
Mon Jul 21 21:05:22 2025	1753128322	0	201	201	200
Mon Jul 21 21:05:21 2025	1753128321	12	190	202	188
Mon Jul 21 21:05:21 2025	1753128321	13	190	202	189
Mon Jul 21 21:05:21 2025	1753128321	18	185	204	185
Mon Jul 21 21:05:22 2025	1753128322	1	206	207	205
Mon Jul 21 21:05:21 2025	1753128321	12	196	208	181
Mon Jul 21 21:05:21 2025	1753128321	12	197	210	187
Mon Jul 21 21:05:22 2025	1753128322	1	209	210	205
Mon Jul 21 21:05:21 2025	1753128321	12	198	210	187
Mon Jul 21 21:05:21 2025	1753128321	12	198	210	197
Mon Jul 21 21:05:21 2025	1753128321	12	198	210	188
Mon Jul 21 21:05:21 2025	1753128321	13	198	210	189
Mon Jul 21 21:05:22 2025	1753128322	1	213	213	205
Mon Jul 21 21:05:21 2025	1753128321	12	201	213	196
Mon Jul 21 21:05:22 2025	1753128322	0	213	214	201
Mon Jul 21 21:05:22 2025	1753128322	0	214	214	201
Mon Jul 21 21:05:22 2025	1753128322	158	58	216	58
Mon Jul 21 21:05:22 2025	1753128322	0	217	218	214
Mon Jul 21 21:05:21 2025	1753128321	17	201	218	197
Mon Jul 21 21:05:21 2025	1753128321	12	206	219	196
Mon Jul 21 21:05:21 2025	1753128321	12	207	220	206
Mon Jul 21 21:05:21 2025	1753128321	12	208	220	206
Mon Jul 21 21:05:21 2025	1753128321	12	208	220	205
Mon Jul 21 21:05:22 2025	1753128322	158	63	220	62
Mon Jul 21 21:05:21 2025	1753128321	12	208	220	206
Mon Jul 21 21:05:21 2025	1753128321	12	209	221	206
Mon Jul 21 21:05:21 2025	1753128321	12	209	222	206
Mon Jul 21 21:05:21 2025	1753128321	12	210	222	208
Mon Jul 21 21:05:21 2025	1753128321	12	210	222	202
Mon Jul 21 21:05:22 2025	1753128322	32	191	223	191
Mon Jul 21 21:05:21 2025	1753128321	12	212	224	207
Mon Jul 21 21:05:22 2025	1753128322	152	73	225	73
Mon Jul 21 21:05:22 2025	1753128322	158	67	226	67
Mon Jul 21 21:05:22 2025	1753128322	0	225	226	222
Mon Jul 21 21:05:21 2025	1753128321	12	214	226	196
Mon Jul 21 21:05:21 2025	1753128321	12	215	227	207
Mon Jul 21 21:05:21 2025	1753128321	12	215	228	210
Mon Jul 21 21:05:21 2025	1753128321	12	216	228	209
Mon Jul 21 21:05:21 2025	1753128321	12	216	229	211
Mon Jul 21 21:05:21 2025	1753128321	17	212	229	209
Mon Jul 21 21:05:22 2025	1753128322	0	229	229	226
Mon Jul 21 21:05:21 2025	1753128321	12	217	229	214
Mon Jul 21 21:05:21 2025	1753128321	12	217	230	214
Mon Jul 21 21:05:21 2025	1753128321	12	217	230	213
Mon Jul 21 21:05:22 2025	1753128322	0	230	230	228
Mon Jul 21 21:05:21 2025	1753128321	14	218	231	211
Mon Jul 21 21:05:22 2025	1753128322	0	232	232	226
Mon Jul 21 21:05:22 2025	1753128322	0	233	233	232
Mon Jul 21 21:05:22 2025	1753128322	0	234	234	230
Mon Jul 21 21:05:22 2025	1753128322	31	204	235	204
Mon Jul 21 21:05:21 2025	1753128321	18	218	236	212
Mon Jul 21 21:05:22 2025	1753128322	0	238	238	228
Mon Jul 21 21:05:22 2025	1753128322	0	238	238	234
Mon Jul 21 21:05:22 2025	1753128322	0	239	239	236
Mon Jul 21 21:05:21 2025	1753128321	12	228	240	227
Mon Jul 21 21:05:22 2025	1753128322	31	211	242	190
Mon Jul 21 21:05:21 2025	1753128321	12	230	242	227
Mon Jul 21 21:05:22 2025	1753128322	0	244	244	233
Mon Jul 21 21:05:22 2025	1753128322	0	248	249	236
Mon Jul 21 21:05:21 2025	1753128321	12	236	249	219
Mon Jul 21 21:05:22 2025	1753128322	31	219	250	219
Mon Jul 21 21:05:22 2025	1753128322	1	250	250	246
Mon Jul 21 21:05:22 2025	1753128322	0	250	250	241
Mon Jul 21 21:05:21 2025	1753128321	12	244	256	238
Mon Jul 21 21:05:21 2025	1753128321	12	244	257	236
Mon Jul 21 21:05:21 2025	1753128321	12	244	257	236
Mon Jul 21 21:05:21 2025	1753128321	12	244	257	235
Mon Jul 21 21:05:21 2025	1753128321	17	240	257	228
